DisplayId,Location,nLeaps,LeapDuration,LeapRate,Nseeds,ShadowIntensity,VegetationDensity,Disturbance,Truck,Fire,Mower,LocationID,BorderDistance,RoadDistance,LakeDistance,DawnTime,DayYear,Nest20,Nest10,RecordTime,RecordDate,BreedingSeason,Longitude,Latitude
D37,ar,12,511.917,13.352,54.067,0.598,0.128,1,0,1,0,ar,90.226,103.426,610.472,2.5431,63,No,No,8:25,05-03-19,2018_2019,-47.87270897,-15.75483802
D38,ar,20,329.8,11.32,23,2.216,0.151,1,0,1,1,ar,86.205,99.423,631.442,2.7597,63,Yes,No,8:38,05-03-19,2018_2019,-47.87271098,-15.755094
D39,ar,20,402.05,11.191,264.96,3.91,0.375,0,0,0,0,ar,102.985,126.067,545.097,3.6931,63,No,No,9:34,05-03-19,2018_2019,-47.87287099,-15.75380998
D40,ar,14,535.5,11.934,477.18,0.115,0.224,1,0,0,1,ar,0.964,10.676,760.955,1.9597,63,No,No,7:50,05-03-19,2018_2019,-47.87498198,-15.754489
D41,ar,17,475.059,20.91,1477.76,2.865,0.289,1,0,0,1,ar,58.83,68.759,714.288,1.7931,63,No,No,7:40,05-03-19,2018_2019,-47.87408897,-15.75478303
D42,ar,23,559.217,14.319,1189.3,0.283,0.322,1,0,0,1,ar,122.038,131.826,644.72,2.0931,63,No,No,7:58,05-03-19,2018_2019,-47.873907,-15.75406102
D43,ar,22,537.364,13.105,644.52,3.747,0.44,0,0,0,0,ar,130.438,153.913,572.956,4.3097,63,No,No,10:11,05-03-19,2018_2019,-47.87294199,-15.754101
D44,ar,11,419.727,9.474,703.88,1.504,0.498,0,0,0,0,ar,82.737,102.034,520.938,5.1097,63,No,No,10:59,05-03-19,2018_2019,-47.87385302,-15.75250399
D46,co,17,438.494,15.066,415.66,1.553,0.373,0,0,0,0,co,48.732,370.618,178.078,1.5225,64,No,No,7:24,06-03-19,2018_2019,-47.85789496,-15.76086201
D47,co,13,405.538,15.171,286.9,0.475,0.336,0,0,0,0,co,63.653,392.032,193.483,1.9725,64,No,No,7:51,06-03-19,2018_2019,-47.85711,-15.76077601
D48,co,20,369.475,18.374,275.44,0.592,0.376,0,0,0,0,co,49.008,382.635,213.727,2.0725,64,No,No,7:57,06-03-19,2018_2019,-47.85677497,-15.76092797
D50,ar,15,522.933,8.741,257.904,3.024,0.4,0,0,0,0,ar,140.335,162.559,582.967,1.3486,66,Yes,No,7:14,08-03-19,2018_2019,-47.87297702,-15.75419596
D51,ar,13,479.308,15.643,694.2,2.024,0.347,0,0,0,0,ar,155.669,167.904,604.258,1.4819,66,Yes,No,7:22,08-03-19,2018_2019,-47.87312698,-15.75432203
D52,ar,15,427.667,17.285,399.145,3.104,0.605,0,0,0,0,ar,152.147,167.506,594.719,1.5319,66,Yes,Yes,7:25,08-03-19,2018_2019,-47.87307501,-15.75425003
D53,ar,15,403.4,11.433,1006.96,1.655,0.241,1,0,1,0,ar,133.526,146.024,604.577,1.6653,66,No,No,7:33,08-03-19,2018_2019,-47.872987,-15.75448397
D54,ar,15,411.467,12.799,197.78,2.938,0.255,1,0,1,1,ar,123.406,131.557,663.733,2.6486,66,No,No,8:32,08-03-19,2018_2019,-47.87307501,-15.755165
D56,co,15,398.867,16.427,171,1.17,0.47,0,0,0,0,co,8.305,335.701,231.009,0.7981,78,No,No,6:43,20-03-19,2018_2019,-47.85756203,-15.76124699
D57,co,17,514.176,18.526,339.72,1.079,0.457,0,0,0,0,co,38.934,369.249,220.38,2.9147,78,No,No,8:50,20-03-19,2018_2019,-47.85698502,-15.76100601
D58,co,14,399.214,15.827,0,0.88,0.449,0,0,0,0,co,83.175,410.526,172.143,3.4481,78,No,No,9:22,20-03-19,2018_2019,-47.85721402,-15.76059404
D59,co,15,535.333,12.964,110.46,2.613,0.251,0,0,0,0,co,117.02,461.815,120.589,4.2481,78,No,No,10:10,20-03-19,2018_2019,-47.85721201,-15.760128
D60,co,22,483,11.954,3.4,2.161,0.319,0,0,0,0,co,98.874,476.253,102.464,4.3314,78,No,No,10:15,20-03-19,2018_2019,-47.85739196,-15.759983
D61,ar,13,380.077,10.342,40.8,1.068,0.088,1,0,1,0,ar,68.666,82.022,610.194,1.1653,66,Yes,No,7:03,08-03-19,2018_2019,-47.87253899,-15.75498504
